Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
April,52.0,Manager,33768.99,2904.0825,5.0,4.0,5.0,0.0,2,2.0,10.06,3.0,Good,209.22,36.33105200437889,No,0.0,174.75304928360907,Low_spent_Small_value_payments,405.6552007163908,Standard,202.0,0,0
May,52.0,,33768.99,2904.0825,5.0,4.0,5.0,0.0,5,2.0,17.060000000000002,3.0,Good,209.22,25.08009439417675,No,0.0,45.24201361106348,High_spent_Medium_value_payments,495.1662363889365,Standard,203.0,0,0
June,52.0,Manager,33768.99,2904.0825,5.0,4.0,5.0,0.0,2,2.0,10.06,,Good,209.22,28.77776801613936,No,0.0,66.7821849278114,High_spent_Small_value_payments,483.62606507218857,Poor,204.0,0,0
July,52.0,Manager,33768.99,2904.0825,5.0,4.0,5.0,0.0,-1,2.0,10.06,3.0,Good,209.22,27.74022079277361,No,0.0,20.87240467672468,High_spent_Large_value_payments,509.5358453232754,Poor,205.0,0,0
August,53.0,Manager,33768.99,2904.0825,5.0,4.0,5.0,0.0,2,2.0,6.0600000000000005,3.0,Good,209.22,27.646017318683946,No,0.0,215.3923109356228,,365.0159390643773,Poor,206.0,0,0
January,37.0,Manager,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,2.0,9.35,3.0,Good,426.54,26.75960347255069,No,162.48844834704764,192.7597500111658,High_spent_Medium_value_payments,550.1214683084532,Good,308.0,4,1
February,37.0,Manager,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,2.0,9.35,3.0,Good,426.54,29.323159790049463,No,162.48844834704764,,High_spent_Medium_value_payments,659.6289113779151,Good,309.0,4,1
March,37.0,,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,2.0,9.35,3.0,Good,426.54,33.46060572921312,No,162.48844834704764,10000.0,Low_spent_Small_value_payments,,Good,310.0,4,1
April,37.0,Manager,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,15,0.0,9.35,3.0,Good,426.54,37.94501797506605,No,162.48844834704764,150.63189119548528,High_spent_Large_value_payments,582.2493271241337,Good,311.0,4,1
May,37.0,,78164.36,,0.0,4.0,4.0,4.0,10,2.0,3.35,3.0,Good,426.54,27.09671997258993,No,162.48844834704764,242.3320245177213,High_spent_Medium_value_payments,500.5491938018978,Good,312.0,4,1
June,37.0,Manager,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,2.0,14.35,3.0,_,426.54,34.19423167110361,,162.48844834704764,284.6217437704365,High_spent_Small_value_payments,468.2594745491826,Good,,4,1
July,37.0,,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,2.0,14.35,3.0,Good,426.54,31.624039190687707,,162.48844834704764,447.87528884745774,High_spent_Small_value_payments,305.0059294721613,Good,314.0,4,1
August,37.0,Manager,78164.36,6553.696666666668,0.0,4.0,4.0,4.0,10,4.0,9.35,3.0,_,426.54,38.05941852212667,No,162.48844834704764,550.6892279804247,Low_spent_Small_value_payments,232.1919903391944,Good,,4,1
January,38.0,Lawyer,7261.91,,5.0,7.0,12.0,6.0,30,14.0,17.98,7.0,Standard,908.02,28.66053730978124,,35.461801249881184,17.90660009263966,High_spent_Small_value_payments,245.94751532414583,Standard,,6,1
February,38.0,Lawyer,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,30,14.0,17.98,7.0,Standard,908.02,25.239737111310436,Yes,35.461801249881184,39.87443673185271,Low_spent_Small_value_payments,253.9796786849328,Standard,101.0,6,1
March,38.0,Lawyer,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,30,,17.98,7.0,_,908.02,27.987739795673534,Yes,35.461801249881184,25.61827905886093,Low_spent_Small_value_payments,268.23583635792454,Standard,102.0,6,1
April,38.0,Lawyer,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,34,14.0,14.98,7.0,Standard,908.02,35.85130869788377,Yes,35.461801249881184,20.150242065666284,Low_spent_Medium_value_payments,263.7038733511192,Standard,103.0,6,1
May,38.0,,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,30,14.0,17.98,7.0,Standard,908.02,29.81996642121695,Yes,35.461801249881184,21.231977403637423,Low_spent_Medium_value_payments,262.62213801314806,Standard,104.0,6,1
June,,Lawyer,7261.91,,5.0,7.0,12.0,6.0,34,17.0,17.98,12.0,Standard,908.02,29.143548626195575,Yes,35.461801249881184,30.62998791298124,Low_spent_Large_value_payments,243.22412750380423,Standard,105.0,6,1
July,38.0,,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,30,14.0,17.98,12.0,Standard,908.02,23.90563280467528,Yes,35.461801249881184,15.917874749004936,Low_spent_Small_value_payments,277.93624066778057,Good,106.0,6,1
August,38.0,Lawyer,7261.91,393.1591666666667,5.0,7.0,12.0,6.0,30,17.0,22.98,12.0,Standard,908.02,33.75052612916739,,35.461801249881184,16.198855630199517,High_spent_Medium_value_payments,237.655259786586,Good,107.0,6,1
January,,Scientist,114150.75,9668.5625,5.0,4.0,8.0,0.0,14,1.0,14.13,0.0,Good,399.84,41.48109469112988,No,0.0,375.18007579340696,Low_spent_Medium_value_payments,871.676174206593,Standard,224.0,0,0
February,40.0,Scientist,114150.75,9668.5625,5.0,4.0,8.0,0.0,14,1.0,9.13,0.0,_,399.84,29.45355819886753,No,0.0,757.6359565423485,Low_spent_Small_value_payments,499.2202934576516,Standard,225.0,0,0
March,40.0,Scientist,114150.75,9668.5625,5.0,4.0,8.0,0.0,12,,9.13,2587.0,_,399.84,37.29658810542138,No,0.0,147.99750094100648,High_spent_Large_value_payments,1058.8587490589937,Good,226.0,0,0
April,40.0,Scientist,114150.75,9668.5625,5.0,4.0,8.0,0.0,18,1.0,9.13,0.0,Good,399.84,29.221534278471022,No,0.0,430.8040452661273,Low_spent_Small_value_payments,826.0522047338727,Standard,227.0,0,0
May,40.0,Scientist,114150.75,,5.0,4.0,8.0,0.0,19,,9.13,0.0,Good,399.84,41.29367771048988,,0.0,148.08744249306184,,1058.7688075069384,Good,228.0,0,0
June,41.0,Scientist,114150.75,9668.5625,5.0,4.0,8.0,,15,,9.13,0.0,Good,399.84,35.26374733968928,No,0.0,636.6214720699069,Low_spent_Medium_value_payments,610.2347779300933,Good,229.0,0,0
July,41.0,Scientist,114150.75,9668.5625,5.0,4.0,8.0,0.0,10,1.0,9.13,0.0,Good,399.84,35.87327849678254,No,0.0,116.44972945434844,High_spent_Large_value_payments,1090.4065205456516,Good,230.0,0,0
August,41.0,Scientist,114150.75,,5.0,4.0,8.0,0.0,10,,9.13,318.0,_,399.84,38.35114011109825,No,0.0,164.26125319102457,High_spent_Medium_value_payments,1052.594996808975,Standard,,0,0
January,,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,27,8.0,18.21,7.0,Standard,1685.8,27.6297769519234,Yes,206.32103892874747,63.189312781290255,High_spent_Medium_value_payments,366.0851482899623,Standard,88.0,7,1
February,28.0,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,25,10.0,18.21,7.0,Standard,1685.8,21.264253803031448,Yes,206.32103892874747,360.28846671782657,Low_spent_Large_value_payments,88.98599435342602,Standard,89.0,7,1
March,28.0,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,25,9.0,18.21,7.0,Standard,1685.8,25.345607382809824,,206.32103892874747,84.81775282216951,High_spent_Large_value_payments,334.45670824908296,Standard,90.0,7,1
April,29.0,Scientist,44219.46,3855.955,6.0,7.0,,7.0,25,9.0,18.21,7.0,Standard,1685.8,37.96365055822751,Yes,206.32103892874747,236.9379655663209,Low_spent_Medium_value_payments,222.3364955049316,Poor,91.0,7,1
May,29.0,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,25,9.0,18.21,7.0,Standard,1685.8,27.431177391748705,Yes,206.32103892874747,277.11019724657103,Low_spent_Small_value_payments,192.16426382468148,Poor,92.0,7,1
June,29.0,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,25,,18.21,7.0,Standard,1685.8,34.80192767487429,Yes,206.32103892874747,,High_spent_Small_value_payments,262.2074522180045,Standard,93.0,7,1
July,29.0,Scientist,44219.46,3855.955,6.0,7.0,12.0,7.0,24,9.0,18.21,1418.0,Standard,1685.8,35.39567836302066,Yes,206.32103892874747,,Low_spent_Medium_value_payments,315.61763493840215,Poor,94.0,7,1
August,29.0,,44219.46,,6.0,7.0,12.0,7.0,25,9.0,18.21,7.0,Standard,1685.8,35.164101830066336,,206.32103892874747,89.76074339100487,High_spent_Medium_value_payments,339.5137176802476,Poor,95.0,7,1
January,32.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,4,,7.76,4.0,_,159.31,32.35161523885456,No,0.0,128.294879578636,Low_spent_Small_value_payments,298.1800787546973,Standard,345.0,0,0
February,32.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,-1,7.0,7.76,4.0,Good,159.31,34.71496228177294,No,0.0,65.90613777405059,High_spent_Small_value_payments,330.5688205592827,Standard,346.0,0,0
March,33.0,Musician,18848.995,,3.0,6.0,10.0,0.0,6,9.0,5.76,4.0,Good,159.31,38.86443564378892,No,0.0,30.119750196627184,High_spent_Medium_value_payments,356.3552081367061,Standard,347.0,0,0
April,33.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,4,6.0,7.76,4.0,Good,159.31,38.009809744030434,No,0.0,155.8239834108028,Low_spent_Small_value_payments,270.6509749225305,Standard,348.0,0,0
May,33.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,8,9.0,7.76,7.0,Good,159.31,28.35072382574006,No,0.0,59.03349997710474,Low_spent_Medium_value_payments,357.44145835622857,Standard,349.0,0,0
June,33.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,4,6.0,7.76,7.0,Good,159.31,27.735772071532608,No,0.0,17.095270438939558,High_spent_Medium_value_payments,369.3796878943938,Standard,350.0,0,0
July,33.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,4,9.0,7.76,7.0,Good,159.31,30.0333329662082,No,0.0,96.0921232250382,,330.3828351082951,Poor,351.0,0,0
August,33.0,Musician,18848.995,1364.7495833333332,3.0,6.0,10.0,0.0,4,9.0,7.76,7.0,Good,159.31,38.42046162048121,No,0.0,55.70334978262179,Low_spent_Small_value_payments,370.7716085507116,Poor,352.0,0,0
January,37.0,Musician,41486.98,3332.248333333333,3.0,2.0,4.0,4.0,7,2.0,9.18,1.0,Good,802.69,40.72141634731703,No,71.80363832965158,140.30443397260387,High_spent_Small_value_payments,381.11676103107794,Good,281.0,4,1
February,37.0,Musician,41486.98,2959.217697254116,3.0,2.0,4.0,4.0,12,,9.18,1.0,Good,802.69,39.054762495250365,No,444.8342744088691,127.24670198187437,High_spent_Medium_value_payments,384.1744930218074,Good,282.0,4,1
March,37.0,Musician,41486.98,,3.0,2.0,4.0,4.0,7,1.0,5.18,3.0,Good,802.69,33.76636000541277,No,444.8342744088691,70.21772665499016,High_spent_Large_value_payments,431.2034683486917,Good,283.0,4,1
April,37.0,Musician,41486.98,2959.217697254116,3.0,2.0,4.0,,7,1.0,10.18,3.0,Good,802.69,24.763011513661503,No,444.8342744088691,219.9294250700661,Low_spent_Medium_value_payments,321.49176993361567,Good,284.0,4,1
May,,Musician,41486.98,2959.217697254116,3.0,2.0,4.0,4.0,7,0.0,11.18,3.0,Good,802.69,33.428196620328265,No,444.8342744088691,80.47175205711831,High_spent_Medium_value_payments,430.94944294656347,Good,285.0,4,1
June,38.0,Musician,41486.98,,3.0,2.0,4.0,4.0,5,1.0,9.18,3.0,Good,802.69,35.01473346439564,No,444.8342744088691,38.01035838927229,High_spent_Large_value_payments,463.4108366144095,Good,286.0,4,1
July,38.0,Musician,41486.98,2959.217697254116,3.0,2.0,4.0,4.0,2,3.0,9.18,3.0,Good,802.69,38.76040169035802,,39301.0,51.57787723455922,High_spent_Large_value_payments,449.84331776912256,Good,287.0,4,1
August,38.0,Musician,41486.98,2959.217697254116,3.0,2.0,4.0,4.0,5,1.0,9.18,3.0,Good,802.69,35.929930201974614,No,444.8342744088691,,Low_spent_Large_value_payments,320.9658449652227,Good,288.0,4,1
January,34.0,Accountant,13264791.0,6388.3325,7.0,6.0,,2.0,30,15.0,-4.58,4.0,Standard,451.63,32.16277071475958,No,80.87723028558403,145.6882107801021,High_spent_Medium_value_payments,662.2678089343141,Standard,200.0,2,1
February,34.0,Accountant,77463.99,6388.3325,7.0,6.0,15.0,2.0,29,15.0,2.42,4.0,_,451.63,36.05714732242628,No,80.87723028558403,,High_spent_Large_value_payments,749.6139093056079,Standard,201.0,2,1
March,34.0,Accountant,77463.99,6388.3325,7.0,6.0,15.0,2.0,29,15.0,2.42,4.0,_,451.63,35.07557570027647,,80.87723028558403,630.0778413506251,Low_spent_Medium_value_payments,207.878178363791,Standard,202.0,2,1
April,34.0,Accountant,77463.99,,7.0,6.0,15.0,2.0,29,13.0,2.42,4.0,Standard,451.63,28.882503945425118,No,80.87723028558403,262.8613114433877,High_spent_Medium_value_payments,545.0947082710284,Standard,203.0,2,1
May,34.0,Accountant,77463.99,6388.3325,7.0,6.0,15.0,2.0,26,,-0.5800000000000001,4.0,Standard,451.63,27.86215196896068,No,34794.0,,Low_spent_Small_value_payments,59.63187899621642,Standard,204.0,2,1
June,34.0,Accountant,77463.99,6388.3325,7.0,6.0,15.0,2.0,26,18.0,2.42,4.0,Standard,451.63,28.05356930865968,No,80.87723028558403,548.2637361993442,Low_spent_Small_value_payments,299.69228351507195,Standard,205.0,2,1
July,34.0,Accountant,77463.99,,7.0,6.0,,2.0,29,15.0,2.42,4.0,Standard,451.63,41.64869714888616,No,80.87723028558403,230.89554050783852,High_spent_Medium_value_payments,577.0604792065776,Standard,206.0,2,1
August,35.0,Accountant,77463.99,6388.3325,7.0,6.0,15.0,2.0,25,,2.42,1761.0,Standard,451.63,33.76708824629581,No,80.87723028558403,621.3233238267276,Low_spent_Medium_value_payments,216.63269588768856,Standard,207.0,2,1
January,40.0,Media_Manager,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,2,11.0,2.25,4.0,_,1181.27,39.62032711208651,No,43.84825710628783,336.5256217082401,Low_spent_Large_value_payments,252.49778785213877,Standard,202.0,2,1
February,40.0,Media_Manager,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,2,10.0,2.25,4.0,Good,1181.27,32.296083658094695,No,43.84825710628783,106.72560829392006,High_spent_Medium_value_payments,462.2978012664588,Standard,203.0,2,1
March,40.0,Media_Manager,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,4,11.0,2.25,4.0,Good,1181.27,38.60535377253032,No,43.84825710628783,126.22029704735672,High_spent_Small_value_payments,452.8031125130221,Standard,204.0,2,1
April,40.0,Media_Manager,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,2,14.0,2.25,4.0,Good,1181.27,36.22047774956613,No,43.84825710628783,36.69021307986287,High_spent_Large_value_payments,522.333196480516,Standard,205.0,2,1
May,40.0,Media_Manager,44456.6,,4.0,3.0,6.0,2.0,-3,,2.25,686.0,Good,1181.27,23.2756992808854,No,43.84825710628783,331.385953387881,Low_spent_Large_value_payments,257.6374561724979,Standard,,2,1
June,41.0,Media_Manager,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,2,11.0,2.25,4.0,Good,1181.27,41.113721051892405,No,43.84825710628783,116.70123446202751,High_spent_Medium_value_payments,452.32217509835135,Standard,207.0,2,1
July,41.0,,44456.6,3628.716666666666,4.0,3.0,6.0,2.0,2,11.0,2.25,4.0,Good,1181.27,27.464901807649216,No,43.84825710628783,140.5868615324576,Low_spent_Large_value_payments,448.4365480279213,Poor,208.0,2,1
August,41.0,Media_Manager,44456.6,,4.0,3.0,6.0,2.0,2,11.0,2.25,4.0,_,1181.27,29.672384249650893,No,42123.0,125.39526312258724,High_spent_Small_value_payments,453.6281464377916,Poor,209.0,2,1
January,46.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,18,0.0,11.56,2.0,Good,195.48,26.114834034486933,No,9.712735562935295,58.13246059910963,Low_spent_Small_value_payments,344.1125538379551,Standard,362.0,1,1
February,47.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,15,0.0,8.56,2.0,_,195.48,36.535388997276826,No,9.712735562935295,35.64873306841693,High_spent_Small_value_payments,336.5962813686478,Standard,363.0,1,1
March,47.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,15,2.0,8.56,2.0,_,195.48,28.372842489167155,,9.712735562935295,52.74108304502474,,319.50393139204,Standard,364.0,1,1
April,47.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,12,0.0,8.56,2.0,Good,195.48,24.059093661033486,No,9.712735562935295,66.68745987444068,Low_spent_Small_value_payments,335.55755456262403,Standard,365.0,1,1
May,47.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,18,0.0,8.56,2.0,Good,195.48,29.79833653954708,No,9.712735562935295,46.742719648411246,High_spent_Medium_value_payments,315.50229478865344,Standard,366.0,1,1
June,,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,,10,0.0,8.56,2.0,Good,195.48,40.7782263342387,No,9.712735562935295,57.16921434777604,Low_spent_Small_value_payments,345.0758000892887,Standard,367.0,1,1
July,47.0,Mechanic,17766.93,1219.5775,5.0,6.0,11.0,1.0,12,0.0,8.56,2.0,Good,195.48,39.361804704197134,No,9.712735562935295,24.12995742571599,High_spent_Medium_value_payments,338.1150570113488,Standard,368.0,1,1
August,47.0,,17766.93,1219.5775,5.0,6.0,11.0,1.0,15,0.0,12.56,2.0,_,195.48,33.16403173342232,No,9.712735562935295,97.94780901866557,,294.2972054183992,Standard,369.0,1,1
January,54.0,Scientist,98796.84,8206.07,1.0,,4.0,2.0,15,3.0,4.31,0.0,Good,324.1,27.00237007127365,No,110.2833806839318,125.86545778146188,High_spent_Large_value_payments,824.4581615346063,Standard,280.0,2,1
February,54.0,Scientist,1732275.0,8206.07,1.0,3.0,4.0,2.0,10,,,0.0,_,324.1,36.87754091151018,No,110.2833806839318,90.9641569672237,High_spent_Large_value_payments,859.3594623488443,Standard,281.0,2,1
March,54.0,Scientist,98796.84,8206.07,1.0,3.0,4.0,,15,4.0,8.309999999999999,0.0,Good,324.1,40.44534317565586,No,110.2833806839318,210.69565926627652,High_spent_Large_value_payments,739.6279600497916,Standard,282.0,2,1
April,54.0,Scientist,98796.84,8206.07,1.0,3.0,4.0,2.0,14,3.0,4.31,0.0,Good,324.1,36.48392890207675,No,110.2833806839318,401.12153828836153,High_spent_Small_value_payments,569.2020810277068,Standard,283.0,2,1
May,54.0,,98796.84,8206.07,1.0,3.0,4.0,2.0,15,3.0,4.31,0.0,Good,324.1,36.76138552578283,,110.2833806839318,312.0638102818658,Low_spent_Medium_value_payments,678.2598090342024,Standard,284.0,2,1
June,55.0,Scientist,98796.84,,1.0,3.0,4.0,2.0,15,3.0,4.31,0.0,Good,324.1,34.42956886517484,No,110.2833806839318,765.2592117298293,Low_spent_Medium_value_payments,225.06440758623887,Standard,285.0,2,1
July,55.0,,98796.84,8206.07,1.0,3.0,,2.0,15,3.0,4.31,0.0,Good,324.1,33.32455309073565,No,110.2833806839318,709.2274350477934,Low_spent_Medium_value_payments,281.09618426827467,Standard,286.0,2,1
August,55.0,Scientist,98796.84,8206.07,1.0,3.0,4.0,2.0,15,2.0,4.31,3.0,Good,324.1,35.130956221491616,No,110.2833806839318,241.9845135329512,High_spent_Medium_value_payments,718.339105783117,Standard,287.0,2,1
January,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,14,5.0,0.99,4.0,_,858.09,33.85979162146548,No,40.39817496072083,118.56804466043594,,291.44457204550986,Standard,257.0,3,1
February,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,14,5.0,1.99,4.0,Good,858.09,24.309045653752108,No,40.39817496072083,59.54927250782411,High_spent_Small_value_payments,330.46334419812166,Standard,,3,1
March,45.0,,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,14,5.0,1.99,4.0,_,858.09,33.94362567421219,No,13798.0,220.30455197823665,Low_spent_Small_value_payments,,Standard,259.0,3,1
April,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,17,5.0,1.99,4.0,Good,858.09,26.292352062202102,No,40.39817496072083,77.07535041098258,Low_spent_Small_value_payments,342.93726629496325,Standard,260.0,3,1
May,45.0,Musician,20929.295,,5.0,3.0,9.0,3.0,14,5.0,1.99,4.0,Good,858.09,34.956004732361194,No,40.39817496072083,21.65177730142069,,358.3608394045252,Standard,261.0,3,1
June,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,14,5.0,-3.01,4.0,Good,858.09,35.87433410637657,No,40.39817496072083,129.0535771896788,Low_spent_Medium_value_payments,280.959039516267,Standard,262.0,3,1
July,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,16,3.0,1.99,4.0,Good,858.09,36.92498467930586,No,40.39817496072083,102.40167947304668,High_spent_Small_value_payments,287.6109372328992,Standard,263.0,3,1
August,45.0,Musician,20929.295,1704.1079166666666,5.0,3.0,9.0,3.0,12,5.0,1.99,9.0,_,858.09,29.559578942541886,No,40.39817496072083,66.71879470598765,Low_spent_Medium_value_payments,343.2938219999582,Standard,264.0,3,1
January,45.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,22,14.0,19.73,8.0,_,1149.65,29.68761348915741,Yes,80.43489216058977,164.21291703691497,Low_spent_Small_value_payments,334.7400241358286,Standard,69.0,4,1
February,45.0,,36742.54,,3.0,6.0,9.0,4.0,26,14.0,19.73,8.0,Standard,1149.65,37.438199387197216,Yes,80.43489216058977,42.35135796364778,High_spent_Large_value_payments,406.6015832090959,Standard,70.0,4,1
March,45.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,22,17.0,19.73,9.0,Standard,1149.65,27.531105226996665,Yes,80.43489216058977,166.2822082853619,Low_spent_Large_value_payments,312.67073288738175,Standard,71.0,4,1
April,46.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,22,14.0,19.73,9.0,Standard,1149.65,35.568531638121364,Yes,80.43489216058977,233.5051857515502,Low_spent_Large_value_payments,245.44775542119345,Standard,72.0,4,1
May,46.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,22,14.0,19.73,9.0,Standard,1149.65,25.08801803894959,,80.43489216058977,136.17290270777596,High_spent_Small_value_payments,332.7800384649677,Standard,73.0,4,1
June,46.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,17,14.0,19.73,9.0,Standard,1149.65,40.433268667705576,Yes,80.43489216058977,150.18809495895655,High_spent_Small_value_payments,318.7648462137871,Standard,74.0,4,1
July,46.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,20,15.0,19.73,9.0,Standard,1149.65,26.826571265150672,Yes,80.43489216058977,,High_spent_Small_value_payments,314.06582672008363,Standard,75.0,4,1
August,46.0,Lawyer,36742.54,2893.8783333333336,3.0,6.0,9.0,4.0,22,14.0,19.73,9.0,Standard,1149.65,27.796485688345957,Yes,80.43489216058977,260.84023191603626,Low_spent_Small_value_payments,238.11270925670735,Standard,76.0,4,1
January,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,24,13.0,3.66,0.0,Standard,1204.07,38.9436072772351,Yes,49.75250980215552,173.4532946894526,Low_spent_Large_value_payments,415.3531955083919,Standard,339.0,2,1
February,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,28,13.0,3.66,0.0,_,1204.07,33.945389391407424,Yes,49.75250980215552,,High_spent_Small_value_payments,490.544720643119,Standard,340.0,2,1
March,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,23,14.0,3.66,0.0,Standard,1204.07,28.00769623542053,Yes,49.75250980215552,80.18947442069508,High_spent_Small_value_payments,498.6170157771493,Standard,341.0,2,1
April,28.0,Manager,41803.08,,,3.0,13.0,2.0,27,,3.66,0.0,Standard,1204.07,36.98826515497966,Yes,49.75250980215552,126.9076153670363,High_spent_Medium_value_payments,441.89887483080815,Standard,342.0,2,1
May,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,28,12.0,3.66,0.0,Standard,1204.07,36.56243038596121,Yes,49.75250980215552,315.30939861041804,Low_spent_Small_value_payments,293.49709158742644,Standard,343.0,2,1
June,,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,28,13.0,3.66,0.0,Standard,1204.07,34.65400348010525,Yes,49.75250980215552,202.1302553376277,,386.6762348602168,Standard,344.0,2,1
July,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,28,13.0,3.66,0.0,Standard,1204.07,24.40968474757738,Yes,49.75250980215552,311.2143927768716,Low_spent_Large_value_payments,277.5920974209729,Standard,345.0,2,1
August,28.0,Manager,41803.08,3685.59,3.0,3.0,13.0,2.0,28,14.0,9.66,0.0,Standard,1204.07,29.42141863699026,Yes,49.75250980215552,25.784418527909036,High_spent_Large_value_payments,533.0220716699355,Standard,346.0,2,1
January,26.0,Journalist,35384.0,,9.0,6.0,32.0,9.0,30,17.0,3.43,8.0,Bad,4161.42,35.61647025672122,Yes,214.3342971261814,,High_spent_Small_value_payments,224.05372128623048,Poor,43.0,9,1
February,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,17.0,1.43,9.0,Bad,4161.42,28.6820611818544,Yes,214.3342971261814,247.5554206074496,Low_spent_Small_value_payments,124.17694893303567,Poor,44.0,9,1
March,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,,1.43,9.0,Bad,4161.42,30.83227708486773,Yes,214.3342971261814,63.44442689175077,High_spent_Medium_value_payments,268.2879426487345,Poor,45.0,9,1
April,26.0,Journalist,35384.0,,9.0,6.0,32.0,9.0,30,17.0,3.43,9.0,Bad,4161.42,40.06229122758969,Yes,214.3342971261814,10000.0,Low_spent_Large_value_payments,249.65781540186765,Standard,46.0,9,1
May,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,19.0,1.43,9.0,Bad,4161.42,31.155382206324404,Yes,214.3342971261814,133.73993875837007,,237.9924307821152,Standard,47.0,9,1
June,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,19.0,1.43,9.0,Bad,4161.42,31.346189971065588,Yes,214.3342971261814,34.705470676400964,High_spent_Medium_value_payments,297.0268988640844,Poor,48.0,9,1
July,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,20.0,1.43,9.0,Bad,4161.42,31.37567973035501,Yes,214.3342971261814,26.86509514022324,High_spent_Large_value_payments,294.8672744002621,Poor,49.0,9,1
August,26.0,Journalist,35384.0,2960.666666666666,9.0,6.0,32.0,9.0,30,17.0,,9.0,Bad,4161.42,24.490027925292296,Yes,214.3342971261814,186.22466724104493,Low_spent_Small_value_payments,185.5077022994404,Poor,50.0,9,1
January,22.0,Doctor,43568.84,3852.736666666666,5.0,7.0,5.0,1.0,9,6.0,2.25,1.0,Good,1389.9,23.05278530065167,No,27.816261119818112,10000.0,Low_spent_Small_value_payments,206.5673748044196,Standard,329.0,0,0
